[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[03:00:13] 📍 Loaded 563 district venues
[03:00:13] 🚀 DISTRICT SCRAPER STARTED
[03:00:17] ⚠ 43348 status 403
[03:00:17] ⚠ 10250 status 403
[03:00:17] ⚠ 1050645 status 403
[03:00:17] ⚠ 1019166 status 403
[03:00:17] ⚠ 1037530 status 403
[03:00:17] ⚠ 1020333 status 403
[03:00:17] ⚠ 1005799 status 403
[03:00:17] ⚠ 1034375 status 403
[03:00:17] ⚠ 1015289 status 403
[03:00:17] ⚠ 1025291 status 403
[03:00:17] ⚠ 1041725 status 403
[03:00:17] ⚠ 1058533 status 403
[03:00:17] ⚠ 27150 status 403
[03:00:17] ⚠ 1044095 status 403
[03:00:17] ⚠ 1058794 status 403
[03:00:17] ⚠ 1023626 status 403
[03:00:17] ⚠ 1039768 status 403
[03:00:17] ⚠ 1019593 status 403
[03:00:17] ⚠ 1034186 status 403
[03:00:17] ⚠ 27715 status 403
[03:00:17] ⚠ 1013208 status 403
[03:00:17] ⚠ 27716 status 403
[03:00:17] ⚠ 44966 status 403
[03:00:17] ⚠ 1016986 status 403
[03:00:17] ⚠ 1088790 status 403
[03:00:17] ⚠ 4306 status 403
[03:00:17] ⚠ 24351 status 403
[03:00:17] ⚠ 1020288 status 403
[03:00:17] ⚠ 1037520 status 403
[03:00:19] ⚠ 1025740 status 403
[03:00:19] ⚠ 5058 status 403
[03:00:19] ⚠ 1027903 status 403
[03:00:19] ⚠ 4725 status 403
[03:00:19] ⚠ 1014990 status 403
[03:00:19] ⚠ 1037523 status 403
[03:00:19] ⚠ 9132 status 403
[03:00:19] ⚠ 26640 status 403
[03:00:19] ⚠ 42945 status 403
[03:00:19] ⚠ 1052503 status 403
[03:00:19] ⚠ 4050 status 403
[03:00:19] ⚠ 1015840 status 403
[03:00:19] ⚠ 1065987 status 403
[03:00:19] ⚠ 1064038 status 403
[03:00:19] ⚠ 46485 status 403
[03:00:19] ⚠ 1041496 status 403
[03:00:19] ⚠ 4715 status 403
[03:00:19] ⚠ 1015442 status 403
[03:00:19] ⚠ 1037514 status 403
[03:00:19] ⚠ 1036772 status 403
[03:00:19] ⚠ 7137 status 403
[03:00:19] ⚠ 1016381 status 403
[03:00:19] ⚠ 51499 status 403
[03:00:19] ⚠ 1020453 status 403
[03:00:19] ⚠ 9136 status 403
[03:00:19] ⚠ 27219 status 403
[03:00:19] ⚠ 1041473 status 403
[03:00:19] ⚠ 7618 status 403
[03:00:19] ⚠ 16522 status 403
[03:00:19] ⚠ 4051 status 403
[03:00:19] ⚠ 7679 status 403
[03:00:19] ⚠ 1041242 status 403
[03:00:19] ⚠ 18460 status 403
[03:00:19] ⚠ 1041393 status 403
[03:00:19] ⚠ 1037510 status 403
[03:00:19] ⚠ 5145 status 403
[03:00:20] ⚠ 1020547 status 403
[03:00:20] ⚠ 1037531 status 403
[03:00:20] ⚠ 1041458 status 403
[03:00:20] ⚠ 1084553 status 403
[03:00:20] ⚠ 25571 status 403
[03:00:20] ⚠ 1032461 status 403
[03:00:20] ⚠ 1075745 status 403
